pathology,n_images,mean_iobb,mean_iou,box_area_frac,iobb_acc@0.1,iobb_acc@0.1_lo,iobb_acc@0.1_hi,iobb_acc@0.25,iobb_acc@0.25_lo,iobb_acc@0.25_hi,iobb_acc@0.5,iobb_acc@0.5_lo,iobb_acc@0.5_hi,ctrl_acc@0.25
Atelectasis,57,0.4106618722915195,0.17014264707741253,0.04490217242324562,0.6140350877192983,0.49122807017543857,0.7368421052631579,0.543859649122807,0.42105263157894735,0.6666666666666666,0.45614035087719296,0.3333333333333333,0.5789473684210527,0.10526315789473684
Cardiomegaly,81,0.7330221813946632,0.5522343417176429,0.1792895206404321,1.0,1.0,1.0,0.9629629629629629,0.9135802469135802,1.0,0.8148148148148148,0.7283950617283951,0.8891975308641972,0.9876543209876543
Effusion,44,0.5097899141517659,0.24565987375984946,0.06937233664772728,0.75,0.6136363636363636,0.8636363636363636,0.75,0.6136363636363636,0.8636363636363636,0.4772727272727273,0.3403409090909091,0.6136363636363636,0.11363636363636363
Mass,30,0.41374522603041836,0.21102891909104818,0.025213216145833335,0.7,0.5333333333333333,0.8666666666666667,0.6333333333333333,0.4666666666666667,0.8,0.4,0.23333333333333334,0.5666666666666667,0.03333333333333333
Nodule,34,0.17748606923306323,0.07936219742217554,0.010033892463235293,0.38235294117647056,0.2345588235294118,0.5588235294117647,0.3235294117647059,0.17647058823529413,0.5,0.14705882352941177,0.029411764705882353,0.2647058823529412,0.0
Pneumonia,53,0.5515769068761746,0.2774450147559567,0.12199384581367925,0.7924528301886793,0.6792452830188679,0.9056603773584906,0.7358490566037735,0.6037735849056604,0.8490566037735849,0.5849056603773585,0.4528301886792453,0.7169811320754716,0.49056603773584906
Pneumothorax,33,0.3769182590524513,0.1447048195341334,0.11181877367424242,0.5454545454545454,0.3931818181818182,0.696969696969697,0.5151515151515151,0.3333333333333333,0.696969696969697,0.3939393939393939,0.24242424242424243,0.5757575757575758,0.21212121212121213
MACRO (class-avg),332,0.4533143470042937,0.2400825447654598,0.08037482254405647,0.6834707720769989,,,0.6378122755627283,,,0.46773311011584273,,,0.27751063224416417
