layer,T,mean_iou,mean_iobb,box_area_frac,iobb_acc@0.1,iobb_acc@0.25,iobb_acc@0.5
features[5],0.05,0.15236209915167107,0.695778769369826,0.43981355212983625,0.8065476190476191,0.7916666666666666,0.7172619047619048
features[5],0.1,0.17033429654164295,0.6169716720933407,0.32707784016927083,0.7797619047619048,0.7470238095238095,0.6309523809523809
features[5],0.15,0.17051091654061082,0.520431025497926,0.23852001371837797,0.7291666666666666,0.6696428571428571,0.5119047619047619
features[5],0.2,0.17107926561891973,0.4741833247694629,0.1792787097749256,0.7232142857142857,0.6517857142857143,0.45535714285714285
features[5],0.25,0.16841351080882833,0.414654014595904,0.1287091355096726,0.7053571428571429,0.5892857142857143,0.36904761904761907
features[5],0.3,0.15787897654555377,0.35418215848963625,0.0954775855654762,0.6726190476190477,0.5148809523809523,0.2857142857142857
features[5],0.35,0.15040869867365908,0.3021811970109015,0.07126624697730655,0.6339285714285714,0.44047619047619047,0.24107142857142858
features[5],0.4,0.14327993991850882,0.26019655420719534,0.05664728073846727,0.6041666666666666,0.3630952380952381,0.19047619047619047
features[5],0.45,0.13192765258975214,0.22203529556255897,0.043674229213169644,0.5505952380952381,0.29464285714285715,0.15476190476190477
features[5],0.5,0.11955274050578739,0.18430914940232818,0.03141374860491072,0.4732142857142857,0.25,0.11904761904761904
features[5],0.55,0.10871318576062891,0.15835088478034373,0.025696963355654766,0.42857142857142855,0.21726190476190477,0.09821428571428571
features[5],0.6,0.09631464328986346,0.1344857074783399,0.019465070452008928,0.375,0.19642857142857142,0.0744047619047619
features[5],0.65,0.08202111685091182,0.10864833255237501,0.01343654087611607,0.3005952380952381,0.13988095238095238,0.047619047619047616
features[5],0.7,0.06766231469721662,0.08562040475517434,0.00993864513578869,0.2619047619047619,0.10119047619047619,0.026785714285714284
features[5],0.75,0.05491050898037194,0.06627352090185888,0.007180001395089286,0.21428571428571427,0.07142857142857142,0.011904761904761904
features[5],0.8,0.04067477315402553,0.04679508841914954,0.004838925316220238,0.13988095238095238,0.03869047619047619,0.005952380952380952
features[5],0.85,0.027630626493806737,0.030067572504702367,0.00305818103608631,0.08928571428571429,0.017857142857142856,0.002976190476190476
features[5],0.9,0.015619919750880708,0.016330101339591858,0.0015959530784970238,0.044642857142857144,0.002976190476190476,0.0
features[7],0.05,0.19007405139636438,0.7472890261913662,0.30115251813616073,0.8273809523809523,0.8214285714285714,0.7529761904761905
features[7],0.1,0.2213755463191539,0.6944140167970202,0.21769740513392857,0.8095238095238095,0.7916666666666666,0.7261904761904762
features[7],0.15,0.2343698794281927,0.6369333994101118,0.16831115722656248,0.7916666666666666,0.7678571428571429,0.6636904761904762
features[7],0.2,0.23347229849970316,0.5853430745635864,0.13413457961309522,0.7797619047619048,0.7559523809523809,0.6011904761904762
features[7],0.25,0.23032158863543645,0.5383409833371336,0.10710885184151785,0.7797619047619048,0.7202380952380952,0.5416666666666666
features[7],0.3,0.2226410089976214,0.4857998283434134,0.08731436593191966,0.7708333333333334,0.6845238095238095,0.46130952380952384
features[7],0.35,0.21631592119543508,0.44955095923020977,0.07271147228422618,0.7619047619047619,0.6458333333333334,0.40773809523809523
features[7],0.4,0.20655249922506116,0.40365524623080257,0.060307849702380956,0.7380952380952381,0.5982142857142857,0.35714285714285715
features[7],0.45,0.1958471899667566,0.3647026059949221,0.050754249209449404,0.7232142857142857,0.5386904761904762,0.30357142857142855
features[7],0.5,0.17955664130108634,0.3215955472848558,0.04165579659598214,0.6934523809523809,0.4583333333333333,0.25595238095238093
features[7],0.55,0.16684184498723847,0.2880245109355069,0.03477207728794643,0.6607142857142857,0.43154761904761907,0.21428571428571427
features[7],0.6,0.15041957933026134,0.24735849998761827,0.027579607282366064,0.5863095238095238,0.3601190476190476,0.18154761904761904
features[7],0.65,0.1330006834205561,0.20717994799489423,0.02142368861607143,0.5297619047619048,0.2976190476190476,0.13392857142857142
features[7],0.7,0.11677013532381289,0.16963703450106227,0.016638096400669645,0.4494047619047619,0.22023809523809523,0.10416666666666667
features[7],0.75,0.09847411573672621,0.13332411876851932,0.012167271205357141,0.3869047619047619,0.17559523809523808,0.07142857142857142
features[7],0.8,0.0753788194649366,0.09363987745845141,0.008509347098214286,0.27380952380952384,0.11011904761904762,0.041666666666666664
features[7],0.85,0.0547112103060026,0.06307174452249018,0.005373942057291667,0.17857142857142858,0.06845238095238096,0.017857142857142856
features[7],0.9,0.031172445248032747,0.03393903394232445,0.0028564453125,0.09523809523809523,0.026785714285714284,0.002976190476190476
