pathology,n_images,mean_iobb,mean_iou,box_area_frac,iobb_acc@0.1,iobb_acc@0.1_lo,iobb_acc@0.1_hi,iobb_acc@0.25,iobb_acc@0.25_lo,iobb_acc@0.25_hi,iobb_acc@0.5,iobb_acc@0.5_lo,iobb_acc@0.5_hi,ctrl_acc@0.25
Atelectasis,57,0.5934166338819428,0.10685312013702254,0.14806623492324564,0.6842105263157895,0.5614035087719298,0.789912280701754,0.6666666666666666,0.543859649122807,0.7894736842105263,0.5964912280701754,0.45614035087719296,0.7192982456140351,0.543859649122807
Cardiomegaly,81,0.7330221813946632,0.5522343417176429,0.1792895206404321,1.0,1.0,1.0,0.9629629629629629,0.9135802469135802,1.0,0.8148148148148148,0.7283950617283951,0.8891975308641972,0.9876543209876543
Effusion,44,0.6404393512902113,0.2193360303035435,0.15409157492897727,0.7954545454545454,0.6818181818181818,0.9090909090909091,0.75,0.6136363636363636,0.8636363636363636,0.7045454545454546,0.5681818181818182,0.8409090909090909,0.25
Mass,30,0.7412929187532161,0.16213626666979752,0.10898763020833332,0.8333333333333334,0.7,0.9666666666666667,0.8,0.6666666666666666,0.9333333333333333,0.7333333333333333,0.5666666666666667,0.8666666666666667,0.6
Nodule,34,0.6295593072755417,0.029691716585828934,0.13542767693014704,0.6470588235294118,0.5,0.7941176470588235,0.6470588235294118,0.5,0.7941176470588235,0.6176470588235294,0.47058823529411764,0.7647058823529411,0.17647058823529413
Pneumonia,53,0.5955391705309315,0.2286896083441719,0.18598522258254718,0.7547169811320755,0.6226415094339622,0.8679245283018868,0.6981132075471698,0.5660377358490566,0.8113207547169812,0.6037735849056604,0.4716981132075472,0.7358490566037735,0.660377358490566
Pneumothorax,33,0.6081764159050024,0.13356692560507596,0.21303829308712122,0.7272727272727273,0.5757575757575758,0.8787878787878788,0.696969696969697,0.5454545454545454,0.8484848484848485,0.5757575757575758,0.42424242424242425,0.7575757575757576,0.42424242424242425
MACRO (class-avg),332,0.6487779970045013,0.20464400133758334,0.16069802190011484,0.7774352767196976,,,0.745967336810844,,,0.663766150035792,,,0.5203720487255351
